page,text,image_id
1,địa chỉ,D0001B
1,địa chỉ,D0001N
1,địa chỉ,D0001T
1,tỉnh,D0002
1,tiếp tân,D0003
1,nhân viên,D0004
1,Miến Điện (nước Mi-an-ma),D0005B
1,Miến Điện (nước Mi-an-ma),D0005N
1,Miến Điện (nước Mi-an-ma),D0005T
1,Ma Cao,D0006
1,Do Thái,D0007
1,Ả Rập (nước Ả Rập),D0008
1,phương Tây,D0009
1,phương Đông,D0010
1,Đu Bai (nước Đu Bai),D0011
1,Albania (nước Albania),D0012
1,người nước ngoài,D0013
1,nhập khẩu,D0014
1,Tuy Hoà,D0015
1,Quy Nhơn,D0016
2,hấp dẫn,D0017
2,nổi da gà,D0018
2,ghen tị,D0019B
2,ghen tị,D0019N
2,ghen tị,D0019T
2,lung tung,D0020B
2,lung tung,D0020N
2,lung tung,D0020T
2,hói đầu,D0021
2,cười nhếch mép,D0022
2,cười vỡ bụng,D0023
2,tham ăn,D0024B
2,tham ăn,D0024N
2,tham ăn,D0024T
2,thèm,D0026
2,thèm rỏ dãi,D0027
2,đứng đầu (hàng đầu),D0028
2,thói quen,D0029B
2,thói quen,D0029N
2,thói quen,D0029T
3,khuyến khích,D0030
3,không nghe lời,D0031B
3,không nghe lời,D0031N
3,không nghe lời,D0031T
3,ai cho,D0032
3,không cho,D0033B
3,không cho,D0033N
3,không cho,D0033T
3,không cần,D0034
3,không nên,D0035B
3,không nên,D0035N
3,không nên,D0035T
3,bực mình,D0036
3,tự giác,D0037
3,mù chữ,D0038
3,vô tình,D0039
3,Tết hàn thực,D0040B
3,Tết hàn thực,D0040N
3,Tết hàn thực,D0040T
3,giỗ,D0041
4,ngày Quốc tế phụ nữ 8/3,D0042B
4,ngày Quốc tế phụ nữ 8/3,D0042N
4,ngày Quốc tế phụ nữ 8/3,D0042T
4,ngày giải phóng thủ đô 10/10,D0043B
4,ngày giải phóng thủ đô 10/10,D0043N
4,ngày giải phóng thủ đô 10/10,D0043T
4,ngày Giải phóng miền Nam 30/4,D0044B
4,ngày Giải phóng miền Nam 30/4,D0044N
4,ngày Giải phóng miền Nam 30/4,D0044T
4,ngày Người khuyết tật Việt Nam 18/4,D0045B
4,ngày Người khuyết tật Việt Nam 18/4,D0045N
4,ngày Người khuyết tật Việt Nam 18/4,D0045T
4,ngày Người khuyết tật Thế giới 3/12,D0046B
4,ngày Người khuyết tật Thế giới 3/12,D0046N
4,ngày Người khuyết tật Thế giới 3/12,D0046T
4,lễ Halloween 31/10,D0048B
4,lễ Halloween 31/10,D0048N
4,lễ Halloween 31/10,D0048T
4,ngày Phụ nữ Việt Nam 20/10,D0049B
4,ngày Phụ nữ Việt Nam 20/10,D0049N
5,ngày Phụ nữ Việt Nam 20/10,D0049T
5,ngày thương bình liệt sĩ 27/7,D0050B
5,ngày thương bình liệt sĩ 27/7,D0050N
5,ngày thương bình liệt sĩ 27/7,D0050T
5,ngày giỗ tổ Hùng Vương (âm lịch 10/3),D0051B
5,ngày giỗ tổ Hùng Vương (âm lịch 10/3),D0051N
5,ngày giỗ tổ Hùng Vương (âm lịch 10/3),D0051T
5,ngày Ngôn ngữ kí hiệu Quốc tế 23/9,D0052B
5,ngày Ngôn ngữ kí hiệu Quốc tế 23/9,D0052N
5,ngày Ngôn ngữ kí hiệu Quốc tế 23/9,D0052T
5,tuần lễ người Điếc thế giới,D0053B
5,tuần lễ người Điếc thế giới,D0053N
5,tuần lễ người Điếc thế giới,D0053T
5,ngày của Mẹ,D0054B
5,ngày của Mẹ,D0054N
5,ngày của Mẹ,D0054T
5,ngày của Cha,D0055B
5,ngày của Cha,D0055N
5,ngày của Cha,D0055T
5,ngày gia đình Việt Nam 28/6,D0056B
